WEP,Tupelanzahl,Mainkey,Dauer,Dauer in ms,Dauer für hacking,Schlüssel verwendet,Schlüssel gefunden,Erfolgreich?,Modell?,
WEP40 ,30000,(b'\x03\x02\xf5nG'),0:00:08.129581, 8129 ms,15245,(15 ,"bytearray""(b'\x03\x02\xf5nG')"" "," bytearray""(b'\x03\x02\xf5nG')"" ",True,
WEP40 ,30000,(b'y4\xd6\xbb{'),0:00:08.254143, 8254 ms,15421,(15 ,"bytearray""(b'y4\xd6\xbb{')"" "," bytearray""(b'\x90\x1d\xd6\xbb{')"" ",False,
WEP40 ,30000,(b'\x9bx \x0b\xd5'),0:00:08.202151, 8202 ms,15646,(15 ,"bytearray""(b'\x9bx \x0b\xd5')"" "," bytearray""(b'\x9bx \x0b\xd5')"" ",True,
WEP40 ,30000,(b'P52\x16\xd4'),0:00:12.149568, 12149 ms,19428,(19 ,"bytearray""(b'P52\x16\xd4')"" "," bytearray""(b'P5\x84\x9c\xfc')"" ",False,
WEP40 ,30000,(b'\xe7G\xe1bo'),0:00:07.939938, 7940 ms,12970,(12 ,"bytearray""(b'\xe7G\xe1bo')"" "," bytearray""(b'\xe7G\xe1b\xdb')"" ",False,
WEP40 ,30000,(b'A7 Ln'),0:00:09.378354, 9378 ms,14618,(14 ,"bytearray""(b'A7 Ln')"" "," bytearray""(b'A7N\x1en')"" ",False,
WEP40 ,30000,(b'@\xae\x92~D'),0:00:08.503628, 8503 ms,13617,(13 ,"bytearray""(b'@\xae\x92~D')"" "," bytearray""(b'@\xae\x92~D')"" ",True,
WEP40 ,30000,(b'%\xc9\x17\xf42'),0:00:13.151474, 13151 ms,18268,(18 ,"bytearray""(b'%\xc9\x17\xf42')"" "," bytearray""(b'%\xc9\xc5F2')"" ",False,
WEP40 ,30000,(b'\xbb&\xc3\xaaH'),0:00:07.875121, 7875 ms,12915,(12 ,"bytearray""(b'\xbb&\xc3\xaaH')"" "," bytearray""(b'\x99H\xf6w\xf8')"" ",False,
WEP40 ,30000,(b'\xe1u\xf9\x96z'),0:00:09.258230, 9258 ms,14543,(14 ,"bytearray""(b'\xe1u\xf9\x96z')"" "," bytearray""(b'\xe1u\xf9\x96z')"" ",True,
WEP40 ,30000,(b'\xe4\x0b\xd4\x1e\xd7'),0:00:08.215081, 8215 ms,13372,(13 ,"bytearray""(b'\xe4\x0b\xd4\x1e\xd7')"" "," bytearray""(b'\xe4\x0b\x7fs\xd7')"" ",False,
WEP40 ,30000,(b'z\xb3\xb29\xc5'),0:00:08.305098, 8305 ms,14536,(14 ,"bytearray""(b'z\xb3\xb29\xc5')"" "," bytearray""(b'z\xb3\xb29>')"" ",False,
WEP40 ,30000,"(b'\xa3\xaa\xec\x1c')""",0:00:09.074714, 9074 ms,18676,(18 ,"bytearray""(b'\xa3""\xaa\xec\x1c')"" "," bytearray""(b'\xa3""\xaa\xec\x1c')"" ",True,
WEP40 ,30000,(b'\x14\x890\x7f\x95'),0:00:08.067544, 8067 ms,13253,(13 ,"bytearray""(b'\x14\x890\x7f\x95')"" "," bytearray""(b'\x14\xb0GM\x89')"" ",False,
WEP40 ,30000,(b'\xa5=\x97\xa1\xe4'),0:00:07.892462, 7892 ms,13066,(13 ,"bytearray""(b'\xa5=\x97\xa1\xe4')"" "," bytearray""(b'7\xab\x97\xa1\xe4')"" ",False,
WEP40 ,30000,(b'\x08\x8f\xa0\xa9P'),0:00:08.036864, 8036 ms,13212,(13 ,"bytearray""(b'\x08\x8f\xa0\xa9P')"" "," bytearray""(b'\x08F\xe9\xa9P')"" ",False,
WEP40 ,30000,(b'n\xa3ot\xcb'),0:00:07.728684, 7728 ms,12620,(12 ,"bytearray""(b'n\xa3ot\xcb')"" "," bytearray""(b'n\xa3ot\xcb')"" ",True,
WEP40 ,30000,(b'\x7f\xf1\xb4\x83\x11'),0:00:07.861218, 7861 ms,12868,(12 ,"bytearray""(b'\x7f\xf1\xb4\x83\x11')"" "," bytearray""(b'\x7f\xf1\xb4\x83\x11')"" ",True,
WEP40 ,30000,(b'\x96>\x81t\xe6'),0:00:08.029105, 8029 ms,13067,(13 ,"bytearray""(b'\x96>\x81t\xe6')"" "," bytearray""(b'\x96>\x81t\xe6')"" ",True,
WEP40 ,30000,(b'Z\xb8\x91\xee\x0b'),0:00:07.963709, 7963 ms,12970,(12 ,"bytearray""(b'Z\xb8\x91\xee\x0b')"" "," bytearray""(b'\r\x05\x91\xee\x0b')"" ",False,
WEP40 ,30000,"(b\xa5\'\xa40y"")""",0:00:07.902390, 7902 ms,12997,(12 ,"bytearray""(b""\xa5\'\xa40y"")"" "," bytearray""(b'K\xccY0\x9a')"" ",False,
WEP40 ,30000,(b'/\xe7C\xdf\xf7'),0:00:12.951460, 12951 ms,23213,(23 ,"bytearray""(b'/\xe7C\xdf\xf7')"" "," bytearray""(b'/ \n\xdf\xa9')"" ",False,
WEP40 ,30000,(b'\x1e\rw\x0f\x89'),0:00:07.798071, 7798 ms,12780,(12 ,"bytearray""(b'\x1e\rw\x0f\x89')"" "," bytearray""(b'\x1e\rw\x0f\xa8')"" ",False,
WEP40 ,30000,(b'if\x04\xbc\xb4'),0:00:12.047680, 12047 ms,20296,(20 ,"bytearray""(b'if\x04\xbc\xb4')"" "," bytearray""(b'if\x04c\r')"" ",False,
WEP40 ,30000,(b'\r\xe4iR/'),0:00:12.232351, 12232 ms,20595,(20 ,"bytearray""(b'\r\xe4iR/')"" "," bytearray""(b'\r\xe4iR/')"" ",True,
WEP40 ,30000,(b'\x88\xaeB\xcc\xcf'),0:00:13.907523, 13907 ms,19665,(19 ,"bytearray""(b'\x88\xaeB\xcc\xcf')"" "," bytearray""(b'\x88\xaeB\xcc\xcf')"" ",True,
WEP40 ,30000,(b'\xf7A\\\xff\xfe'),0:00:08.100311, 8100 ms,13153,(13 ,"bytearray""(b'\xf7A\\\xff\xfe')"" "," bytearray""(b'\xf7A\\EF')"" ",False,
WEP40 ,30000,(b'\x18i\xa4\xdfS'),0:00:11.877982, 11878 ms,19634,(19 ,"bytearray""(b'\x18i\xa4\xdfS')"" "," bytearray""(b'\x18i\x98\xebS')"" ",False,
WEP40 ,30000,(b'\xa9\x1e\xa6*\x08'),0:00:08.283197, 8283 ms,13454,(13 ,"bytearray""(b'\xa9\x1e\xa6*\x08')"" "," bytearray""(b'\xa9\x1e\xa6*\x08')"" ",True,
WEP40 ,30000,(b'\xec\xf9\x00\xa0\x0b'),0:00:10.565207, 10565 ms,19221,(19 ,"bytearray""(b'\xec\xf9\x00\xa0\x0b')"" "," bytearray""(b'\xec\xf9\x00\xa0\x0b')"" ",True,
WEP40 ,30000,"(b'\xce[\x7fQ(')""",0:00:09.291933, 9291 ms,18957,(18 ,"bytearray""(b'\xce[\x7fQ""(')"" "," bytearray""(b'\xff*\x7fQ""(')"" ",False,
WEP40 ,30000,(b'\xcd\xd57\x80R'),0:00:10.100935, 10100 ms,18280,(18 ,"bytearray""(b'\xcd\xd57\x80R')"" "," bytearray""(b'\xcd\xd57\x80V')"" ",False,
WEP40 ,30000,(b'\xb87\xc9\x9b\xdf'),0:00:08.115955, 8116 ms,16680,(16 ,"bytearray""(b'\xb87\xc9\x9b\xdf')"" "," bytearray""(b'\xb8\xc2>\x07s')"" ",False,
WEP40 ,30000,"(b'\xde\x0e\x89;')""",0:00:12.221381, 12221 ms,19369,(19 ,"bytearray""(b'\xde\x0e""\x89;')"" "," bytearray""(b'\xde\x0e""\x89;')"" ",True,
WEP40 ,30000,(b'\xff=\x84j\xc7'),0:00:07.762885, 7762 ms,12704,(12 ,"bytearray""(b'\xff=\x84j\xc7')"" "," bytearray""(b'\xff=\x84j\xc7')"" ",True,
WEP40 ,30000,(b'c\xf8\xb3Y\n'),0:00:12.481597, 12481 ms,22394,(22 ,"bytearray""(b'c\xf8\xb3Y\n')"" "," bytearray""(b'c\x8e\x1dY\n')"" ",False,
WEP40 ,30000,(b'\x1c\xde\xaau\xd8'),0:00:08.815114, 8815 ms,17019,(17 ,"bytearray""(b'\x1c\xde\xaau\xd8')"" "," bytearray""(b'\x1c\xde\xaau\xd8')"" ",True,
WEP40 ,30000,(b'\xe8p\xa6\xa5\xe6'),0:00:12.111329, 12111 ms,21334,(21 ,"bytearray""(b'\xe8p\xa6\xa5\xe6')"" "," bytearray""(b'\xe8p\xa6\x82\t')"" ",False,
WEP40 ,30000,(b'>\xd1\x9e\xa5\xa8'),0:00:07.837152, 7837 ms,12836,(12 ,"bytearray""(b'>\xd1\x9e\xa5\xa8')"" "," bytearray""(b'>\xd1\x9e\xd7v')"" ",False,
WEP40 ,30000,(b'\xca\xbb\xc0\x11\x03'),0:00:16.380329, 16380 ms,26744,(26 ,"bytearray""(b'\xca\xbb\xc0\x11\x03')"" "," bytearray""(b'\xca\xbb\xc0\x11\x03')"" ",True,
WEP40 ,30000,(b'D\xb7$\xc8P'),0:00:17.009665, 17009 ms,25623,(25 ,"bytearray""(b'D\xb7$\xc8P')"" "," bytearray""(b'D\xb7$\xc8P')"" ",True,
WEP40 ,30000,(b'\r\xa5]3*'),0:00:11.056897, 11056 ms,17572,(17 ,"bytearray""(b'\r\xa5]3*')"" "," bytearray""(b'\r\xa5]3*')"" ",True,
WEP40 ,30000,(b'Y\xd7.9\xc4'),0:00:11.737653, 11737 ms,19279,(19 ,"bytearray""(b'Y\xd7.9\xc4')"" "," bytearray""(b'YR\xb39{')"" ",False,
WEP40 ,30000,(b'\xf8\xde\xb5\nA'),0:00:08.068567, 8068 ms,16550,(16 ,"bytearray""(b'\xf8\xde\xb5\nA')"" "," bytearray""(b'\xf8\xde\xb5\nA')"" ",True,
WEP40 ,30000,(b']M\x93\xaa\xcb'),0:00:08.971110, 8971 ms,18226,(18 ,"bytearray""(b']M\x93\xaa\xcb')"" "," bytearray""(b']M\x93\xaa\xcb')"" ",True,
WEP40 ,30000,"(b'}\xc7)\x8a\x97')""",0:00:08.249123, 8249 ms,13366,(13 ,"bytearray""(b'}\xc7)""\x8a\x97')"" "," bytearray""(b'}\xc7)""\x8a\x19')"" ",False,
WEP40 ,30000,(b'\x01\x0b\xca\xa7\xc8'),0:00:07.989825, 7989 ms,13031,(13 ,"bytearray""(b'\x01\x0b\xca\xa7\xc8')"" "," bytearray""(b'\xe8$\xca\xa7\xc8')"" ",False,
WEP40 ,30000,(b'YMu\xfe\xcb'),0:00:08.977210, 8977 ms,15040,(15 ,"bytearray""(b'YMu\xfe\xcb')"" "," bytearray""(b'YMu\xfe\xcb')"" ",True,
WEP40 ,30000,"(b\x8f\'\xa0\xba\x7f"")""",0:00:07.915370, 7915 ms,12879,(12 ,"bytearray""(b""\x8f\'\xa0\xba\x7f"")"" "," bytearray""(b""\x8f\'\xa0\xe7k"")"" ",False,
WEP40 ,30000,(b'\xdf\x81\xc5\xcb\xae'),0:00:14.554903, 14554 ms,21731,(21 ,"bytearray""(b'\xdf\x81\xc5\xcb\xae')"" "," bytearray""(b""\xdf\x81\xc5R\'"")"" ",False,
WEP40 ,30000,(b'\x7f\xd6\xf6x\xf7'),0:00:07.848739, 7848 ms,12857,(12 ,"bytearray""(b'\x7f\xd6\xf6x\xf7')"" "," bytearray""(b'\x7f\xd6\xf6x\xf7')"" ",True,
WEP40 ,30000,(b'\xc6\x97PK\xd7'),0:00:10.233587, 10233 ms,15426,(15 ,"bytearray""(b'\xc6\x97PK\xd7')"" "," bytearray""(b'\xc6\xe4l\xe2\xd7')"" ",False,
WEP40 ,30000,(b'BFR\x9dt'),0:00:08.157955, 8158 ms,13391,(13 ,"bytearray""(b'BFR\x9dt')"" "," bytearray""(b""B\'\xd3;t"")"" ",False,
WEP40 ,30000,(b'Z\xaeF\xac\x1b'),0:00:10.420464, 10420 ms,15578,(15 ,"bytearray""(b'Z\xaeF\xac\x1b')"" "," bytearray""(b'Z\xae-\xc5\xcc')"" ",False,
WEP40 ,30000,(b'2\x14\x06Hb'),0:00:08.017250, 8017 ms,13200,(13 ,"bytearray""(b'2\x14\x06Hb')"" "," bytearray""(b'2\x14\xffOb')"" ",False,
WEP40 ,30000,"(b'\x8e\xfd1(\xaf')""",0:00:07.807252, 7807 ms,12706,(12 ,"bytearray""(b'\x8e\xfd1""(\xaf')"" "," bytearray""(b'\x8e\xfd1""(\xaf')"" ",True,
WEP40 ,30000,(b'\xeeu\xfc&\xd1'),0:00:08.202230, 8202 ms,13321,(13 ,"bytearray""(b'\xeeu\xfc&\xd1')"" "," bytearray""(b'\x12Q\xfc&\xd1')"" ",False,
WEP40 ,30000,(b'\xb4eJ\xa2\xc1'),0:00:08.050078, 8050 ms,13163,(13 ,"bytearray""(b'\xb4eJ\xa2\xc1')"" "," bytearray""(b'\x9d|J\xa2\xc1')"" ",False,
WEP40 ,30000,(b'\x80\xfb\x12F\x9d'),0:00:08.215691, 8215 ms,13365,(13 ,"bytearray""(b'\x80\xfb\x12F\x9d')"" "," bytearray""(b'\x80\xfb\x12F\x9d')"" ",True,
WEP40 ,30000,(b'\xf4\xf3s\xa9\xbd'),0:00:08.290695, 8290 ms,13576,(13 ,"bytearray""(b'\xf4\xf3s\xa9\xbd')"" "," bytearray""(b'\x9bLs\xa9\xbd')"" ",False,
