WEP,Tupel,Main key,KeyGerneration,Tupelanzahl,GetKeyVotes,Key Found,Success,Test Key,millis keyvotes,seconds keyvotes,ms keyvotes,,,ms test,dauer Gesamt
 WEP104,80000,main key: bytearray(b'\xcdp\xca\xe5 '),0:00:37.139786,80000,0:00:02.059667,Key found: bytearray(b'\xcdp\xca\xe5 '),FALSCH,"0:00:00.010998	",059667,02,2059.667,"10998	",0,11.00,2070.67
 WEP104,20000,main key: bytearray(b')\x12T\x133'),0:00:08.880054,20000,0:00:00.555031,,WAHR,0:00:00.282853,555031,00,555.031,282853,0,282.85,837.88
 WEP104,30000,main key: bytearray(b'\xa5\x9cTcB'),0:00:13.170319,30000,0:00:00.833687,Key found: bytearray(b'\xa5\x9cTcB'),FALSCH,0:00:00.005411,833687,00,833.687,005411,0,5.41,839.10
 WEP104,40000,main key: bytearray(b'\x8b\xda\x9e\x081'),0:00:18.132895,40000,0:00:01.088237,Key found: bytearray(b'\x8b\xda\x9e\x081'),FALSCH,0:00:00.005771,088237,01,1088.237,005771,0,5.77,1094.01
 WEP104,50000,main key: bytearray(b'\x90{=a\x0c'),0:00:30.058707,50000,0:00:02.742229,Key found: bytearray(b'\x90{=a\x0c'),FALSCH,0:00:00.014258,742229,02,2742.229,014258,0,14.26,2756.49
 WEP104,60000,main key: bytearray(b'\xda2i\x9c\xfa'),0:00:37.465829,60000,0:00:01.628252,Key found: bytearray(b'\xda2i\x9c\xfa'),FALSCH,0:00:00.008258,628252,01,1628.252,008258,0,8.26,1636.51
 WEP104,70000,main key: bytearray(b'\xa5q02%'),0:00:51.664097,70000,0:00:01.913014,Key found: bytearray(b'\xa5q02%'),FALSCH,0:00:00.009833,913014,01,1913.014,009833,0,9.83,1922.85
 WEP104,80000,main key: bytearray(b'\x9e\xe3V\x1aK'),0:00:34.163310,80000,0:00:02.056250,Key found: bytearray(b'\x9e\xe3V\x1aK'),FALSCH,"0:00:00.010998	",056250,02,2056.25,"10998	",0,11.00,2067.25
 WEP104,20000,main key: bytearray(b'\x1c\x0f\xfa\x19!'),0:00:12.533271,20000,0:00:00.554866,,WAHR,0:00:00.299048,554866,00,554.866,299048,0,299.05,853.91
 WEP104,30000,main key: bytearray(b'u\x94\xbd(\xb3'),0:00:20.997940,30000,0:00:00.833718,Key found: bytearray(b'u\x94\xbd(\xb3'),FALSCH,0:00:00.007331,833718,00,833.718,007331,0,7.33,841.05
 WEP104,40000,main key: bytearray(b'\x1a\x18\xdd\xa73'),0:00:17.473697,40000,0:00:01.095869,Key found: bytearray(b'\x1a\x18\xdd\xa73'),FALSCH,0:00:00.005739,095869,01,1095.869,005739,0,5.74,1101.61
 WEP104,50000,main key: bytearray(b'kZ\xb7X$'),0:00:21.883239,50000,0:00:01.370656,Key found: bytearray(b'kZ\xb7X$'),FALSCH,0:00:00.007238,370656,01,1370.656,007238,0,7.24,1377.89
 WEP104,60000,"main key: bytearray(b'C\xd4lw""')",0:00:26.246990,60000,0:00:01.634789,"Key found: bytearray(b'C\xd4lw""')",FALSCH,0:00:00.008272,634789,01,1634.789,008272,0,8.27,1643.06
 WEP104,70000,main key: bytearray(b'|\x8e\xd7\xb99'),0:00:31.810147,70000,0:00:01.908139,Key found: bytearray(b'|\x8e\xd7\xb99'),FALSCH,0:00:00.009853,908139,01,1908.139,009853,0,9.85,1917.99
 WEP104,80000,main key: bytearray(b'O{V\x18\x98'),0:00:41.166362,80000,0:00:02.201716,Key found: bytearray(b'O{V\x18\x98'),FALSCH,"0:00:00.011643	",201716,02,2201.716,"11643	",0,11.64,2213.36
 WEP104,20000,main key: bytearray(b'R\xee\x04\xa2\xc4'),0:00:08.865174,20000,0:00:00.562589,Key found: bytearray(b'R\xee\x04\xa2\xc4'),FALSCH,0:00:00.004729,562589,00,562.589,004729,0,4.73,567.32
 WEP104,30000,main key: bytearray(b'*v\xed\x1e\x11'),0:00:19.386149,30000,0:00:00.846003,Key found: bytearray(b'*v\xed\x1e\x11'),FALSCH,0:00:00.004989,846003,00,846.003,004989,0,4.99,850.99
 WEP104,40000,main key: bytearray(b'\x12\x15\xb1\x9c>'),0:00:19.597958,40000,0:00:01.107034,Key found: bytearray(b'\x12\x15\xb1\x9c>'),FALSCH,0:00:00.006677,107034,01,1107.034,006677,0,6.68,1113.71
 WEP104,50000,main key: bytearray(b'\xb4\xec\x15\x9e\xe5'),0:00:28.255512,50000,0:00:01.389469,Key found: bytearray(b'\xb4\xec\x15\x9e\xe5'),FALSCH,0:00:00.006990,389469,01,1389.469,006990,0,6.99,1396.46
 WEP104,60000,main key: bytearray(b'\x1e\x94\x89\\y'),0:00:34.745158,60000,0:00:01.664200,Key found: bytearray(b'\x1e\x94\x89\\y'),FALSCH,0:00:00.008262,664200,01,1664.2,008262,0,8.26,1672.46
 WEP104,70000,main key: bytearray(b'\x97\xa6{G\x02'),0:00:55.713303,70000,0:00:01.949461,Key found: bytearray(b'\x97\xa6{G\x02'),FALSCH,0:00:00.009924,949461,01,1949.461,009924,0,9.92,1959.39
 WEP104,80000,main key: bytearray(b'\x8e\xdb\xf0\xd5\x8c'),0:00:36.019243,80000,0:00:02.101699,Key found: bytearray(b'\x8e\xdb\xf0\xd5\x8c'),FALSCH,"0:00:00.011001	",101699,02,2101.699,"11001	",0,11.00,2112.70
 WEP104,20000,main key: bytearray(b'-Qg\x8e\x06'),0:00:13.851396,20000,0:00:00.551799,,WAHR,0:00:00.269285,551799,00,551.799,269285,0,269.29,821.08
 WEP104,30000,main key: bytearray(b'M\x1dE.\xf6'),0:00:17.246094,30000,0:00:00.849118,Key found: bytearray(b'M\x1dE.\xf6'),FALSCH,0:00:00.004945,849118,00,849.118,004945,0,4.95,854.06
 WEP104,40000,main key: bytearray(b'U\x91W\xb6\xd9'),0:00:21.555269,40000,0:00:01.093638,Key found: bytearray(b'U\x91W\xb6\xd9'),FALSCH,0:00:00.005742,093638,01,1093.638,005742,0,5.74,1099.38
 WEP104,50000,main key: bytearray(b'Z2\x8fBm'),0:00:23.907620,50000,0:00:01.388617,Key found: bytearray(b'Z2\x8fBm'),FALSCH,0:00:00.007026,388617,01,1388.617,007026,0,7.03,1395.64
 WEP104,60000,main key: bytearray(b'/k~2A'),0:00:26.168383,60000,0:00:01.637350,Key found: bytearray(b'/k~2A'),FALSCH,0:00:00.008188,637350,01,1637.35,008188,0,8.19,1645.54
 WEP104,70000,main key: bytearray(b'\xdb\x8b\x9d\xc6\x8b'),0:00:32.617841,70000,0:00:01.929832,,WAHR,0:00:00.282109,929832,01,1929.832,282109,0,282.11,2211.94
 WEP104,80000,main key: bytearray(b'\xf7\xd3\n\xf5\xac'),0:00:35.134965,80000,0:00:02.177725,Key found: bytearray(b'\xf7\xd3\n\xf5\xac'),FALSCH,"0:00:00.011596	",177725,02,2177.725,"11596	",0,11.60,2189.32
 WEP104,20000,main key: bytearray(b'Y5m/\x93'),0:00:12.983483,20000,0:00:00.553088,,WAHR,0:00:00.268455,553088,00,553.088,268455,0,268.46,821.54
 WEP104,30000,main key: bytearray(b'%\xee\x8d\xc4\xae'),0:00:17.532717,30000,0:00:01.654464,,WAHR,0:00:00.568246,654464,01,1654.464,568246,0,568.25,2222.71
 WEP104,40000,main key: bytearray(b'\xceh\xb6\x87\xad'),0:00:20.893831,40000,0:00:01.092419,,WAHR,0:00:00.284468,092419,01,1092.419,284468,0,284.47,1376.89
 WEP104,50000,main key: bytearray(b'^\x86\xfd8\x03'),0:00:31.881247,50000,0:00:01.583641,Key found: bytearray(b'^\x86\xfd8\x03'),FALSCH,0:00:00.007011,583641,01,1583.641,007011,0,7.01,1590.65
 WEP104,60000,main key: bytearray(b'\xd7\xddnl\xb0'),0:00:25.944063,60000,0:00:01.629686,Key found: bytearray(b'\xd7\xddnl\xb0'),FALSCH,0:00:00.008290,629686,01,1629.686,008290,0,8.29,1637.98
 WEP104,70000,main key: bytearray(b'\x8c\x8ci\xcd\x8c'),0:00:30.279170,70000,0:00:01.914011,Key found: bytearray(b'\x8c\x8ci\xcd\x8c'),FALSCH,0:00:00.010311,914011,01,1914.011,010311,0,10.31,1924.32
 WEP104,80000,main key: bytearray(b'\xe1\xab\xf8p\xe7'),0:00:36.590273,80000,0:00:02.133772,Key found: bytearray(b'\xe1\xab\xf8p\xe7'),FALSCH,"0:00:00.011431	",133772,02,2133.772,"11431	",0,11.43,2145.20
 WEP104,20000,main key: bytearray(b'K\xba\xf3\xc5\xe8'),0:00:08.798135,20000,0:00:00.551913,,WAHR,0:00:00.270167,551913,00,551.913,270167,0,270.17,822.08
 WEP104,30000,main key: bytearray(b'\x9d+\x1b}\xdc'),0:00:17.191087,30000,0:00:00.837632,,WAHR,0:00:00.274554,837632,00,837.632,274554,0,274.55,1112.19
 WEP104,40000,main key: bytearray(b'`\\~ca'),0:00:30.035913,40000,0:00:01.085413,Key found: bytearray(b'`\\~ca'),FALSCH,0:00:00.005715,085413,01,1085.413,005715,0,5.72,1091.13
 WEP104,50000,main key: bytearray(b'=\x93\xdb\x04\xb8'),0:00:32.084377,50000,0:00:01.513068,Key found: bytearray(b'=\x93\xdb\x04\xb8'),FALSCH,0:00:00.006958,513068,01,1513.068,006958,0,6.96,1520.03
 WEP104,60000,main key: bytearray(b'E;G-\xa1'),0:00:40.712376,60000,0:00:01.625463,Key found: bytearray(b'E;G-\xa1'),FALSCH,0:00:00.008810,625463,01,1625.463,008810,0,8.81,1634.27
 WEP104,70000,main key: bytearray(b'q\x15z\xbbm'),0:00:30.468975,70000,0:00:01.917985,Key found: bytearray(b'q\x15z\xbbm'),FALSCH,0:00:00.009885,917985,01,1917.985,009885,0,9.89,1927.87
 WEP104,80000,main key: bytearray(b'#<\xe9:F'),0:01:05.853222,80000,0:00:04.179070,Key found: bytearray(b'#<\xe9:F'),FALSCH,"0:00:00.022533	",179070,04,4179.07,"22533	",0,22.53,4201.60
 WEP104,20000,main key: bytearray(b'\xb9\rLh-'),0:00:12.539515,20000,0:00:00.554224,,WAHR,0:00:00.273441,554224,00,554.224,273441,0,273.44,827.67
 WEP104,30000,main key: bytearray(b'\xeb\xed\x7f1\xbb'),0:00:13.283076,30000,0:00:00.846227,,WAHR,0:00:00.276495,846227,00,846.227,276495,0,276.50,1122.72
 WEP104,40000,main key: bytearray(b'\x82\xc2\x0c\xd0u'),0:00:17.704417,40000,0:00:01.090284,Key found: bytearray(b'\x82\xc2\x0c\xd0u'),FALSCH,0:00:00.005789,090284,01,1090.284,005789,0,5.79,1096.07
 WEP104,50000,main key: bytearray(b'\xaf[|\x83\xb2'),0:00:23.773322,50000,0:00:02.775206,Key found: bytearray(b'\xaf[|\x83\xb2'),FALSCH,0:00:00.019062,775206,02,2775.206,019062,0,19.06,2794.27
 WEP104,60000,main key: bytearray(b'\xa0\x81A>\xfd'),0:00:42.088185,60000,0:00:03.321230,Key found: bytearray(b'\xa0\x81A>\xfd'),FALSCH,0:00:00.016960,321230,03,3321.23,016960,0,16.96,3338.19
 WEP104,70000,main key: bytearray(b'v]\x9d\x92\xc1'),0:00:53.957428,70000,0:00:01.925503,Key found: bytearray(b'v]\x9d\x92\xc1'),FALSCH,0:00:00.009896,925503,01,1925.503,009896,0,9.90,1935.40
 WEP104,80000,main key: bytearray(b'u\x9a\xba\xc7\xed'),0:01:03.915390,80000,0:00:02.093318,Key found: bytearray(b'u\x9a\xba\xc7\xed'),FALSCH,"0:00:00.011003	",093318,02,2093.318,"11003	",0,11.00,2104.32
 WEP104,20000,"main key: bytearray(b""[\x0b\xd3)\'"")",0:00:16.148528,20000,0:00:00.555641,"Key found: bytearray(b""[\x0b\xd3)\'"")",FALSCH,0:00:00.005233,555641,00,555.641,005233,0,5.23,560.87
 WEP104,30000,"main key: bytearray(b""\xdc\'\x9d\xf9\xaa"")",0:00:15.297115,30000,0:00:00.844469,"Key found: bytearray(b""\xdc\'\x9d\xf9\xaa"")",FALSCH,0:00:00.004517,844469,00,844.469,004517,0,4.52,848.99
 WEP104,40000,"main key: bytearray(b'""JI#o')",0:00:17.635310,40000,0:00:01.104071,"Key found: bytearray(b'""JI#o')",FALSCH,0:00:00.005738,104071,01,1104.071,005738,0,5.74,1109.81
 WEP104,50000,main key: bytearray(b'*\xd2\xabv\x1e'),0:00:24.274296,50000,0:00:01.393636,,WAHR,0:00:00.293423,393636,01,1393.636,293423,0,293.42,1687.06
 WEP104,60000,main key: bytearray(b'w\xf6\xd2\x05\xe4'),0:00:31.554505,60000,0:00:01.665784,Key found: bytearray(b'w\xf6\xd2\x05\xe4'),FALSCH,0:00:00.008220,665784,01,1665.784,008220,0,8.22,1674.00
 WEP104,70000,main key: bytearray(b'\x9a\xe2\xa6p\xa4'),0:00:41.703634,70000,0:00:01.935565,Key found: bytearray(b'\x9a\xe2\xa6p\xa4'),FALSCH,0:00:00.009851,935565,01,1935.565,009851,0,9.85,1945.42
 WEP104,80000,main key: bytearray(b'\xf2$\xe1B\x15'),0:00:35.407639,80000,0:00:02.208395,Key found: bytearray(b'\xf2$\xe1B\x15'),FALSCH,"0:00:00.011583	",208395,02,2208.395,"11583	",0,11.58,2219.98
 WEP104,20000,main key: bytearray(b'\x9en\xe5\xf6\x8e'),0:00:08.776432,20000,0:00:00.546291,,WAHR,0:00:00.270630,546291,00,546.291,270630,0,270.63,816.92
 WEP104,30000,main key: bytearray(b'5%\x0b\xaf\x02'),0:00:23.508282,30000,0:00:01.662305,Key found: bytearray(b'5%\x0b\xaf\x02'),FALSCH,0:00:00.013822,662305,01,1662.305,013822,0,13.82,1676.13
 WEP104,40000,main key: bytearray(b'\x18\x86\xfb\xa1\xfd'),0:00:27.876299,40000,0:00:02.088828,,WAHR,0:00:00.273200,088828,02,2088.828,273200,0,273.20,2362.03
 WEP104,50000,main key: bytearray(b'\x02\xe3\xb4Pk'),0:00:21.893845,50000,0:00:01.381286,Key found: bytearray(b'\x02\xe3\xb4Pk'),FALSCH,0:00:00.006955,381286,01,1381.286,006955,0,6.96,1388.24
 WEP104,60000,main key: bytearray(b'\x19\xb2\x167\x83'),0:00:33.176267,60000,0:00:01.649856,Key found: bytearray(b'\x19\xb2\x167\x83'),FALSCH,0:00:00.008190,649856,01,1649.856,008190,0,8.19,1658.05
 WEP104,70000,main key: bytearray(b'\x88\xe2\xc3\xc2\xe5'),0:00:36.401636,70000,0:00:02.742776,Key found: bytearray(b'\x88\xe2\xc3\xc2\xe5'),FALSCH,0:00:00.020042,742776,02,2742.776,020042,0,20.04,2762.82
 WEP104,80000,main key: bytearray(b'\xe2\xbd\xdb\x90]'),0:00:40.210471,80000,0:00:02.138344,Key found: bytearray(b'\xe2\xbd\xdb\x90]'),FALSCH,"0:00:00.011279	",138344,02,2138.344,"11279	",0,11.28,2149.62
 WEP104,20000,main key: bytearray(b'\x07\xf0\xfbPu'),0:00:08.828456,20000,0:00:00.543934,,WAHR,0:00:00.275112,543934,00,543.934,275112,0,275.11,819.05
